clip_id,video,label,onset_frame,alert_frame,start_frame,end_frame,fps
01924,01924.mp4,0,,,788,938,30.0
00822,00822.mp4,1,135,109,450,600,30.0
01429,01429.mp4,0,,,861,1011,30.0
00208,00208.mp4,1,135,118,459,609,30.0
01904,01904.mp4,0,,,82,232,30.0
00072,00072.mp4,1,135,134,478,628,30.5
01486,01486.mp4,0,,,265,415,30.2
01171,01171.mp4,0,,,261,411,30.0
00128,00128.mp4,1,135,107,443,593,30.0
01518,01518.mp4,0,,,995,1145,30.0
00205,00205.mp4,1,135,45,510,660,30.5
01889,01889.mp4,0,,,829,979,30.6
01286,01286.mp4,0,,,401,551,30.0
00408,00408.mp4,1,135,63,462,612,29.9
00948,00948.mp4,1,135,103,472,622,29.9
00457,00457.mp4,1,135,128,453,603,30.0
01267,01267.mp4,0,,,155,305,30.0
01802,01802.mp4,0,,,488,638,30.5
01755,01755.mp4,0,,,733,883,30.6
00471,00471.mp4,1,135,88,460,610,30.0
02134,02134.mp4,0,,,597,747,27.1
00900,00900.mp4,1,135,36,511,661,30.5
00841,00841.mp4,1,135,50,435,585,30.0
00333,00333.mp4,1,135,55,455,605,30.0
00564,00564.mp4,1,135,53,452,602,29.0
00245,00245.mp4,1,135,103,469,619,30.0
00171,00171.mp4,1,135,38,167,317,30.0
01076,01076.mp4,0,,,447,597,30.0
00795,00795.mp4,1,135,6,499,649,30.6
00372,00372.mp4,1,135,72,464,614,30.0
00938,00938.mp4,1,135,129,178,328,30.0
01749,01749.mp4,0,,,258,408,30.0
00884,00884.mp4,1,135,84,532,682,30.5
00641,00641.mp4,1,135,42,160,310,30.0
00010,00010.mp4,1,135,64,492,642,30.0
01816,01816.mp4,0,,,285,435,30.0
01052,01052.mp4,0,,,577,727,30.0
01205,01205.mp4,0,,,286,436,30.0
00927,00927.mp4,1,135,26,466,616,30.0
00378,00378.mp4,1,135,58,414,564,30.0
01579,01579.mp4,0,,,194,344,30.6
01973,01973.mp4,0,,,513,663,30.0
00238,00238.mp4,1,135,50,475,625,30.0
01050,01050.mp4,0,,,300,450,30.0
01204,01204.mp4,0,,,158,308,30.0
00313,00313.mp4,1,135,107,466,616,30.5
00876,00876.mp4,1,135,90,483,633,30.6
00098,00098.mp4,1,135,65,450,600,30.6
01505,01505.mp4,0,,,50,200,30.0
01699,01699.mp4,0,,,747,897,30.0
01972,01972.mp4,0,,,75,225,30.0
00516,00516.mp4,1,135,106,483,633,30.0
00357,00357.mp4,1,135,82,461,611,30.6
00903,00903.mp4,1,135,48,466,616,29.9
00880,00880.mp4,1,135,108,447,597,30.0
02083,02083.mp4,0,,,676,826,30.5
00558,00558.mp4,1,135,64,483,633,30.5
01162,01162.mp4,0,,,241,391,30.0
01438,01438.mp4,0,,,206,356,30.6
01457,01457.mp4,0,,,724,874,30.6
00291,00291.mp4,1,135,61,405,555,30.6
01342,01342.mp4,0,,,889,1039,30.6
01236,01236.mp4,0,,,647,797,30.6
00977,00977.mp4,1,135,110,455,605,30.0
00100,00100.mp4,1,135,98,419,569,30.0
01303,01303.mp4,0,,,418,568,30.6
01250,01250.mp4,0,,,976,1126,30.6
01291,01291.mp4,0,,,453,603,29.2
00765,00765.mp4,1,135,104,454,604,30.5
02013,02013.mp4,0,,,1067,1217,30.0
01022,01022.mp4,1,135,90,405,555,30.0
00042,00042.mp4,1,135,83,461,611,30.6
01906,01906.mp4,0,,,266,416,25.6
00286,00286.mp4,1,135,66,465,615,30.6
01653,01653.mp4,0,,,127,277,30.0
00858,00858.mp4,1,135,33,466,616,30.0
01405,01405.mp4,0,,,412,562,30.0
00629,00629.mp4,1,135,74,178,328,30.0
00145,00145.mp4,1,135,70,387,537,30.0
01033,01033.mp4,1,135,82,483,633,30.6
00292,00292.mp4,1,135,97,489,639,30.0
01783,01783.mp4,0,,,28,178,30.6
00611,00611.mp4,1,135,51,454,604,30.0
01419,01419.mp4,0,,,95,245,30.0
01016,01016.mp4,1,135,104,471,621,30.6
01276,01276.mp4,0,,,816,966,30.5
01352,01352.mp4,0,,,2,152,30.0
00336,00336.mp4,1,120,94,0,150,30.6
00168,00168.mp4,1,135,96,439,589,30.0
00600,00600.mp4,1,135,31,447,597,30.0
01425,01425.mp4,0,,,1010,1160,30.0
01797,01797.mp4,0,,,847,997,30.0
01829,01829.mp4,0,,,682,832,30.0
01075,01075.mp4,0,,,499,649,30.0
00473,00473.mp4,1,135,61,497,647,30.0
01869,01869.mp4,0,,,666,816,30.5
01551,01551.mp4,0,,,128,278,30.5
00515,00515.mp4,1,135,74,462,612,30.0
00058,00058.mp4,1,135,102,451,601,30.6
00348,00348.mp4,1,135,85,462,612,30.5
00487,00487.mp4,1,135,108,494,644,30.0
01197,01197.mp4,0,,,391,541,30.0
00335,00335.mp4,1,135,87,467,617,29.9
00029,00029.mp4,1,135,110,463,613,30.0
00960,00960.mp4,1,135,94,454,604,30.6
01468,01468.mp4,0,,,454,604,30.6
