clip_id,video,label,onset_frame,alert_frame,start_frame,end_frame,fps
01924,01924.mp4,0,,,788,938,30.0
00822,00822.mp4,1,128,102,457,607,30.0
01429,01429.mp4,0,,,82,232,30.0
00208,00208.mp4,1,108,91,486,636,30.0
01904,01904.mp4,0,,,1047,1197,30.0
00072,00072.mp4,1,137,136,476,626,30.5
01486,01486.mp4,0,,,414,564,30.2
01171,01171.mp4,0,,,155,305,30.0
00128,00128.mp4,1,136,108,442,592,30.0
01518,01518.mp4,0,,,733,883,30.0
00205,00205.mp4,1,102,12,543,693,30.5
01889,01889.mp4,0,,,1033,1183,30.6
01286,01286.mp4,0,,,71,221,30.0
00408,00408.mp4,1,111,39,486,636,29.9
00948,00948.mp4,1,92,60,515,665,29.9
00457,00457.mp4,1,87,80,501,651,30.0
01267,01267.mp4,0,,,316,466,30.0
01802,01802.mp4,0,,,818,968,30.5
01755,01755.mp4,0,,,513,663,30.6
00471,00471.mp4,1,143,96,452,602,30.0
02134,02134.mp4,0,,,722,872,27.1
00900,00900.mp4,1,93,,553,703,30.5
00841,00841.mp4,1,114,29,456,606,30.0
00333,00333.mp4,1,87,7,503,653,30.0
00564,00564.mp4,1,84,2,503,653,29.0
00245,00245.mp4,1,117,85,487,637,30.0
00171,00171.mp4,1,135,38,167,317,30.0
01076,01076.mp4,0,,,206,356,30.0
00795,00795.mp4,1,120,,514,664,30.6
00372,00372.mp4,1,130,67,469,619,30.0
00938,00938.mp4,1,115,109,198,348,30.0
01749,01749.mp4,0,,,312,462,30.0
00884,00884.mp4,1,101,50,566,716,30.5
00641,00641.mp4,1,145,52,150,300,30.0
00010,00010.mp4,1,136,65,491,641,30.0
01816,01816.mp4,0,,,906,1056,30.0
01052,01052.mp4,0,,,533,683,30.0
01205,01205.mp4,0,,,127,277,30.0
00927,00927.mp4,1,145,36,456,606,30.0
00378,00378.mp4,1,76,,473,623,30.0
01579,01579.mp4,0,,,191,341,30.6
01973,01973.mp4,0,,,816,966,30.0
00238,00238.mp4,1,75,,535,685,30.0
01050,01050.mp4,0,,,1010,1160,30.0
01204,01204.mp4,0,,,170,320,30.0
00313,00313.mp4,1,106,78,495,645,30.5
00876,00876.mp4,1,116,71,502,652,30.6
00098,00098.mp4,1,83,13,502,652,30.6
01505,01505.mp4,0,,,97,247,30.0
01699,01699.mp4,0,,,939,1089,30.0
01972,01972.mp4,0,,,581,731,30.0
00516,00516.mp4,1,103,74,515,665,30.0
00357,00357.mp4,1,105,52,491,641,30.6
00903,00903.mp4,1,93,6,508,658,29.9
00880,00880.mp4,1,144,117,438,588,30.0
02083,02083.mp4,0,,,917,1067,30.5
00558,00558.mp4,1,86,15,532,682,30.5
01162,01162.mp4,0,,,41,191,30.0
01438,01438.mp4,0,,,655,805,30.6
01457,01457.mp4,0,,,1040,1190,30.6
00291,00291.mp4,1,137,63,403,553,30.6
01342,01342.mp4,0,,,223,373,30.6
01236,01236.mp4,0,,,617,767,30.6
00977,00977.mp4,1,145,120,445,595,30.0
00100,00100.mp4,1,112,75,442,592,30.0
01303,01303.mp4,0,,,255,405,30.6
01250,01250.mp4,0,,,681,831,30.6
01291,01291.mp4,0,,,834,984,29.2
00765,00765.mp4,1,144,113,445,595,30.5
02013,02013.mp4,0,,,416,566,30.0
01022,01022.mp4,1,145,100,395,545,30.0
00042,00042.mp4,1,111,59,485,635,30.6
01906,01906.mp4,0,,,455,605,25.6
00286,00286.mp4,1,86,17,514,664,30.6
01653,01653.mp4,0,,,788,938,30.0
00858,00858.mp4,1,115,13,486,636,30.0
01405,01405.mp4,0,,,294,444,30.0
00629,00629.mp4,1,105,44,208,358,30.0
00145,00145.mp4,1,112,47,410,560,30.0
01033,01033.mp4,1,98,45,520,670,30.6
00292,00292.mp4,1,99,61,525,675,30.0
01783,01783.mp4,0,,,382,532,30.6
00611,00611.mp4,1,79,,510,660,30.0
01419,01419.mp4,0,,,627,777,30.0
01016,01016.mp4,1,108,77,498,648,30.6
01276,01276.mp4,0,,,975,1125,30.5
01352,01352.mp4,0,,,141,291,30.0
00336,00336.mp4,1,86,60,34,184,30.6
00168,00168.mp4,1,91,52,483,633,30.0
00600,00600.mp4,1,94,,488,638,30.0
01425,01425.mp4,0,,,79,229,30.0
01797,01797.mp4,0,,,862,1012,30.0
01829,01829.mp4,0,,,164,314,30.0
01075,01075.mp4,0,,,801,951,30.0
00473,00473.mp4,1,142,68,490,640,30.0
01869,01869.mp4,0,,,564,714,30.5
01551,01551.mp4,0,,,1068,1218,30.5
00515,00515.mp4,1,105,44,492,642,30.0
00058,00058.mp4,1,102,69,484,634,30.6
00348,00348.mp4,1,128,78,469,619,30.5
00487,00487.mp4,1,110,83,519,669,30.0
01197,01197.mp4,0,,,922,1072,30.0
00335,00335.mp4,1,138,90,464,614,29.9
00029,00029.mp4,1,120,95,478,628,30.0
00960,00960.mp4,1,85,44,504,654,30.6
01468,01468.mp4,0,,,664,814,30.6
00980,00980.mp4,1,89,59,501,651,30.0
00148,00148.mp4,1,137,79,440,590,30.0
00301,00301.mp4,1,117,90,482,632,29.9
00702,00702.mp4,1,99,4,536,686,30.6
02067,02067.mp4,0,,,497,647,30.6
01305,01305.mp4,0,,,16,166,30.0
02026,02026.mp4,0,,,555,705,30.5
00819,00819.mp4,1,89,,495,645,29.9
00459,00459.mp4,1,103,87,213,363,30.0
00529,00529.mp4,1,122,86,482,632,30.5
02001,02001.mp4,0,,,349,499,30.0
01416,01416.mp4,0,,,170,320,30.0
00425,00425.mp4,1,129,87,446,596,29.9
01719,01719.mp4,0,,,127,277,30.5
01103,01103.mp4,0,,,206,356,30.0
00006,00006.mp4,1,93,30,484,634,30.0
01717,01717.mp4,0,,,448,598,30.6
01943,01943.mp4,0,,,92,242,30.0
01624,01624.mp4,0,,,151,301,30.6
01523,01523.mp4,0,,,54,204,30.0
01322,01322.mp4,0,,,254,404,29.9
00617,00617.mp4,1,99,62,503,653,30.6
01714,01714.mp4,0,,,245,395,30.0
02063,02063.mp4,0,,,400,550,29.3
01728,01728.mp4,0,,,187,337,29.9
02014,02014.mp4,0,,,758,908,30.6
00705,00705.mp4,1,89,28,580,730,30.6
00083,00083.mp4,1,79,10,242,392,30.0
01261,01261.mp4,0,,,44,194,30.0
01932,01932.mp4,0,,,398,548,30.0
00032,00032.mp4,1,98,89,488,638,30.0
02084,02084.mp4,0,,,253,403,30.0
01041,01041.mp4,0,,,981,1131,30.0
02011,02011.mp4,0,,,215,365,29.2
00861,00861.mp4,1,82,36,545,695,30.0
00723,00723.mp4,1,77,31,531,681,30.0
01791,01791.mp4,0,,,871,1021,29.9
00851,00851.mp4,1,87,60,509,659,29.9
01193,01193.mp4,0,,,133,283,30.0
01609,01609.mp4,0,,,143,293,30.0
02049,02049.mp4,0,,,226,376,23.6
01190,01190.mp4,0,,,147,297,30.6
01698,01698.mp4,0,,,616,766,30.0
02000,02000.mp4,0,,,717,867,30.0
00370,00370.mp4,1,130,107,538,688,30.0
01607,01607.mp4,0,,,369,519,30.0
00355,00355.mp4,1,82,58,476,626,30.0
00375,00375.mp4,1,139,99,402,552,30.6
01801,01801.mp4,0,,,239,389,30.0
01800,01800.mp4,0,,,80,230,29.8
01341,01341.mp4,0,,,206,356,30.6
01268,01268.mp4,0,,,801,951,30.0
00437,00437.mp4,1,100,65,505,655,30.0
01496,01496.mp4,0,,,532,682,30.0
01394,01394.mp4,0,,,183,333,30.0
00477,00477.mp4,1,135,100,465,615,30.0
00077,00077.mp4,1,96,27,497,647,29.7
00068,00068.mp4,1,101,6,496,646,30.0
00986,00986.mp4,1,82,70,534,684,30.0
00587,00587.mp4,1,95,59,527,677,30.0
01138,01138.mp4,0,,,331,481,30.0
01037,01037.mp4,1,118,44,496,646,29.9
00109,00109.mp4,1,142,23,462,612,30.0
01942,01942.mp4,0,,,513,663,29.7
00498,00498.mp4,1,90,50,423,573,26.4
00312,00312.mp4,1,131,69,534,684,30.5
01292,01292.mp4,0,,,358,508,30.0
02139,02139.mp4,0,,,27,177,30.0
01600,01600.mp4,0,,,965,1115,29.9
01313,01313.mp4,0,,,839,989,30.0
00673,00673.mp4,1,140,85,435,585,30.0
01988,01988.mp4,0,,,637,787,30.6
01679,01679.mp4,0,,,731,881,30.0
01135,01135.mp4,0,,,795,945,30.0
00440,00440.mp4,1,107,66,461,611,30.0
01321,01321.mp4,0,,,314,464,30.0
02052,02052.mp4,0,,,25,175,30.0
00614,00614.mp4,1,133,60,519,669,30.0
01817,01817.mp4,0,,,161,311,30.6
01219,01219.mp4,0,,,687,837,30.0
00963,00963.mp4,1,80,31,533,683,29.9
02121,02121.mp4,0,,,575,725,30.0
00450,00450.mp4,1,92,51,529,679,30.6
00435,00435.mp4,1,105,69,516,666,30.0
00201,00201.mp4,1,136,125,416,566,30.0
01798,01798.mp4,0,,,721,871,30.0
00441,00441.mp4,1,111,22,162,312,30.0
00300,00300.mp4,1,120,72,182,332,30.0
00847,00847.mp4,1,91,,511,661,30.6
00901,00901.mp4,1,114,76,454,604,30.0
01601,01601.mp4,0,,,794,944,30.0
00651,00651.mp4,1,128,87,460,610,29.9
01657,01657.mp4,0,,,165,315,30.6
01289,01289.mp4,0,,,1,151,29.3
00056,00056.mp4,1,99,84,483,633,30.0
01953,01953.mp4,0,,,684,834,29.9
00604,00604.mp4,1,95,59,501,651,30.1
01647,01647.mp4,0,,,490,640,30.6
01084,01084.mp4,0,,,456,606,30.0
00164,00164.mp4,1,132,98,175,325,30.0
00423,00423.mp4,1,123,122,450,600,30.0
00410,00410.mp4,1,128,103,499,649,30.0
00998,00998.mp4,1,79,53,507,657,29.2
01928,01928.mp4,0,,,823,973,29.3
00190,00190.mp4,1,128,38,438,588,30.0
00223,00223.mp4,1,80,51,529,679,30.0
01444,01444.mp4,0,,,339,489,29.7
00284,00284.mp4,1,132,97,474,624,30.6
00373,00373.mp4,1,83,39,559,709,31.0
01570,01570.mp4,0,,,530,680,30.0
01578,01578.mp4,0,,,359,509,30.0
01631,01631.mp4,0,,,161,311,30.0
00260,00260.mp4,1,132,71,485,635,30.0
00037,00037.mp4,1,142,115,474,624,30.0
00340,00340.mp4,1,137,70,422,572,31.0
01765,01765.mp4,0,,,0,150,29.2
01812,01812.mp4,0,,,79,229,30.5
01893,01893.mp4,0,,,1012,1162,30.0
00890,00890.mp4,1,116,34,457,607,29.9
00371,00371.mp4,1,114,91,499,649,30.5
01726,01726.mp4,0,,,956,1106,29.9
00434,00434.mp4,1,81,38,205,355,30.0
01526,01526.mp4,0,,,850,1000,29.9
00206,00206.mp4,1,99,1,523,673,30.0
00665,00665.mp4,1,145,92,461,611,30.5
01187,01187.mp4,0,,,170,320,29.6
00401,00401.mp4,1,91,70,565,715,30.0
00885,00885.mp4,1,76,9,550,700,30.6
01596,01596.mp4,0,,,822,972,30.0
01278,01278.mp4,0,,,855,1005,30.0
02089,02089.mp4,0,,,647,797,30.0
01708,01708.mp4,0,,,6,156,30.5
01465,01465.mp4,0,,,437,587,30.0
00985,00985.mp4,1,76,19,694,844,30.0
01544,01544.mp4,0,,,4,154,30.6
00635,00635.mp4,1,142,132,463,613,30.0
00099,00099.mp4,1,87,55,432,582,30.5
01761,01761.mp4,0,,,97,247,30.0
00123,00123.mp4,1,90,50,494,644,30.0
01070,01070.mp4,0,,,622,772,28.9
00771,00771.mp4,1,100,55,494,644,30.6
00455,00455.mp4,1,113,71,458,608,30.6
01414,01414.mp4,0,,,573,723,30.0
00677,00677.mp4,1,98,64,505,655,30.0
00810,00810.mp4,1,87,20,538,688,30.6
00181,00181.mp4,1,135,73,460,610,29.7
00547,00547.mp4,1,125,60,474,624,30.0
02039,02039.mp4,0,,,166,316,29.8
02046,02046.mp4,0,,,44,194,29.9
00695,00695.mp4,1,110,17,513,663,30.0
00079,00079.mp4,1,132,102,477,627,30.0
00334,00334.mp4,1,89,69,483,633,30.0
01671,01671.mp4,0,,,525,675,30.0
00751,00751.mp4,1,92,55,518,668,30.0
00430,00430.mp4,1,141,115,437,587,29.8
01255,01255.mp4,0,,,836,986,29.4
00461,00461.mp4,1,119,56,184,334,30.0
00940,00940.mp4,1,89,44,522,672,30.6
00381,00381.mp4,1,94,65,455,605,29.9
01963,01963.mp4,0,,,570,720,30.0
00460,00460.mp4,1,77,27,534,684,30.5
00090,00090.mp4,1,80,52,498,648,30.0
00645,00645.mp4,1,80,21,545,695,30.0
00132,00132.mp4,1,101,74,504,654,30.0
01484,01484.mp4,0,,,697,847,29.2
01036,01036.mp4,1,108,40,543,693,29.9
00605,00605.mp4,1,115,71,479,629,30.6
01724,01724.mp4,0,,,969,1119,30.0
01824,01824.mp4,0,,,751,901,30.6
01849,01849.mp4,0,,,86,236,30.0
01538,01538.mp4,0,,,1012,1162,30.5
00040,00040.mp4,1,133,102,420,570,30.0
01420,01420.mp4,0,,,655,805,30.0
00719,00719.mp4,1,130,36,497,647,30.0
00813,00813.mp4,1,122,54,499,649,30.0
01256,01256.mp4,0,,,275,425,30.0
00295,00295.mp4,1,97,68,477,627,30.0
00773,00773.mp4,1,101,67,502,652,30.0
00656,00656.mp4,1,123,82,495,645,30.0
01649,01649.mp4,0,,,596,746,30.0
00589,00589.mp4,1,76,50,512,662,29.9
01839,01839.mp4,0,,,283,433,29.1
00588,00588.mp4,1,94,40,485,635,30.0
00540,00540.mp4,1,109,91,526,676,30.6
01122,01122.mp4,0,,,682,832,30.0
01737,01737.mp4,0,,,691,841,30.6
01390,01390.mp4,0,,,752,902,30.6
01249,01249.mp4,0,,,191,341,30.0
01368,01368.mp4,0,,,173,323,30.0
01871,01871.mp4,0,,,73,223,30.0
01687,01687.mp4,0,,,84,234,30.0
01294,01294.mp4,0,,,552,702,30.5
01987,01987.mp4,0,,,83,233,30.0
00557,00557.mp4,1,94,52,522,672,30.0
00704,00704.mp4,1,112,84,436,586,29.8
01996,01996.mp4,0,,,184,334,30.0
00563,00563.mp4,1,125,63,451,601,29.7
01588,01588.mp4,0,,,265,415,30.0
01000,01000.mp4,1,112,88,437,587,30.6
00949,00949.mp4,1,89,7,528,678,30.6
01752,01752.mp4,0,,,979,1129,30.6
00179,00179.mp4,1,105,74,495,645,30.0
00591,00591.mp4,1,81,52,515,665,29.5
02016,02016.mp4,0,,,630,780,30.0
00755,00755.mp4,1,97,73,474,624,30.0
00932,00932.mp4,1,141,18,460,610,30.0
00021,00021.mp4,1,84,46,517,667,30.0
01437,01437.mp4,0,,,619,769,30.0
00727,00727.mp4,1,126,57,522,672,30.0
00263,00263.mp4,1,117,95,485,635,30.0
00921,00921.mp4,1,113,61,501,651,29.9
00833,00833.mp4,1,128,90,157,307,30.0
00066,00066.mp4,1,88,61,561,711,29.9
01723,01723.mp4,0,,,50,200,30.0
01281,01281.mp4,0,,,985,1135,29.9
00431,00431.mp4,1,135,94,518,668,30.0
00152,00152.mp4,1,118,73,497,647,30.6
01696,01696.mp4,0,,,703,853,30.6
00577,00577.mp4,1,90,51,583,733,30.5
01950,01950.mp4,0,,,981,1131,30.0
01426,01426.mp4,0,,,237,387,30.0
00845,00845.mp4,1,138,99,504,654,30.0
01912,01912.mp4,0,,,218,368,30.0
00776,00776.mp4,1,79,31,470,620,27.7
01767,01767.mp4,0,,,618,768,29.9
01793,01793.mp4,0,,,686,836,29.9
00520,00520.mp4,1,94,48,559,709,30.6
01224,01224.mp4,0,,,341,491,30.0
02040,02040.mp4,0,,,769,919,30.0
00761,00761.mp4,1,86,51,478,628,30.0
00590,00590.mp4,1,83,31,539,689,30.6
01713,01713.mp4,0,,,173,323,30.0
02118,02118.mp4,0,,,405,555,30.6
01640,01640.mp4,0,,,452,602,30.0
00802,00802.mp4,1,82,51,571,721,30.6
00666,00666.mp4,1,124,78,525,675,30.0
00791,00791.mp4,1,76,42,518,668,30.0
01112,01112.mp4,0,,,200,350,30.5
00699,00699.mp4,1,125,85,445,595,30.0
00868,00868.mp4,1,141,93,425,575,29.8
00005,00005.mp4,1,112,110,527,677,30.6
00004,00004.mp4,1,132,126,449,599,30.0
00877,00877.mp4,1,137,90,468,618,30.0
00319,00319.mp4,1,102,86,500,650,30.0
02105,02105.mp4,0,,,433,583,30.6
01159,01159.mp4,0,,,171,321,30.0
01994,01994.mp4,0,,,188,338,30.0
01324,01324.mp4,0,,,112,262,30.0
01887,01887.mp4,0,,,534,684,30.0
00668,00668.mp4,1,96,50,497,647,30.0
01167,01167.mp4,0,,,883,1033,30.1
00209,00209.mp4,1,99,59,457,607,30.0
00111,00111.mp4,1,120,72,473,623,30.0
00202,00202.mp4,1,89,45,500,650,30.0
02133,02133.mp4,0,,,130,280,30.0
00506,00506.mp4,1,78,36,514,664,30.6
00354,00354.mp4,1,142,90,454,604,30.0
01383,01383.mp4,0,,,231,381,30.0
00730,00730.mp4,1,100,63,468,618,29.0
00731,00731.mp4,1,90,58,523,673,30.0
02071,02071.mp4,0,,,1018,1168,30.6
01870,01870.mp4,0,,,815,965,30.0
02055,02055.mp4,0,,,525,675,30.6
02130,02130.mp4,0,,,424,574,30.0
00961,00961.mp4,1,80,48,508,658,30.0
